pubchem id,common name,flavor profile
11168,Methyl Thiocyanate,{'sulfur'}
11173,3-Methyl-2-Buten-1-Ol,"{'fruity', 'lavender', 'herb', 'green'}"
11176,Propyl Isovalerate,"{'bitter', 'apple', 'sweet', 'fruity'}"
1119,sulfur dioxide,{'bitter'}
11230,Terpinen-4-ol,"{'nutmeg', 'earth', 'must', 'turpentine', 'woody', 'pepper', 'sweet', 'musty'}"
1123,taurine,"{'bland', 'bitter'}"
11240503,2-Mercapto-2-Methyl-1-Pentanol,{'sulfurous'}
11251,3-Methyl-2-Butanone,{'camphor'}
11265,2-Methyl-3-Pentanone,{'mint'}
1130,thiamine,{'bitter'}
11335,"2,6-Dimethylphenol","{'medicinal', 'rooty', 'coffee', 'phenolic', 'sweet'}"
11363,"1-Phenyl-1,2-Propanedione","{'buttery', 'honey', 'pepper', 'plastic'}"
1136,4-Methyl-5-Thiazoleethanol,"{'sulfur', 'cooked beef juice', 'fatty'}"
11368078,"(E,E)-2,4-Decadienoic isobutylamide","{'spicy', 'herbal'}"
1140,toluene,"{'paint', 'sweet'}"
11449,"Octane-2,3-dione","{'broccoli', 'buttery', 'dill', 'cooked'}"
11463,Terpinolene,"{'citrus', 'woody', 'plastic', 'pine', 'sweet', 'fresh'}"
11467,gamma-Terpineol,"{'lilac', 'terpineol'}"
11468,1-Terpineol,"{'dry', 'musty', 'must', 'woody'}"
1146,trimethylamine,"{'sweaty', 'fish', 'rancid', 'oily', 'fishy', 'fruity'}"
11508,3-Methyl-1-Pentanol,"{'cocoa', 'green', 'fruity', 'fusel', 'wine', 'cognac'}"
11509,3-Hexanone,"{'ether', 'rum', 'waxy', 'fruity', 'grape', 'sweet'}"
11514,Isobutyl Isovalerate,"{'apple', 'raspberry', 'green', 'sweet', 'banana', 'fruity'}"
11520,3-Heptanol,"{'bitter', 'powerful', 'herb', 'herbal'}"
115221,Ginkgolide A,{'bitter'}
11523,"cis-1,4-Dimethylcyclohexane",{''}
11527,3-Octanol,"{'melon', 'woody', 'moss', 'mushroom', 'earthy', 'nut', 'citrus', 'spicy', 'minty', 'herbal'}"
11529,Butyl propionate,"{'rose', 'weak', 'sweet', 'banana', 'earthy'}"
11543,2-Methyl-2-Pentanol,{'pungent'}
11552,3-Methylbutanal,"{'chocolate', 'malt', 'ethereal', 'aldehydic', 'sour', 'peach', 'fatty'}"
11559,alpha-Angelica lactone,{''}
11567,3-Methylcyclohexanone,"{'camphoraceous', 'minty', 'medicinal', 'camphor'}"
11569,3-Methoxybenzaldehyde,{'anisic'}
11579,Levulinic Acid,"{'buttery', 'acetoin', 'acidic', 'sweet', 'caramel'}"
11583,2-Hexanone,"{'ethereal', 'ether'}"
11586487,(R)-beta-himachalene,{''}
11593,Acetoxyacetone,"{'buttery', 'fruity'}"
11613,Butyl isothiocyanate,"{'woody', 'vegetable', 'meaty', 'wine_like', 'green', 'fatty', 'earthy', 'fruity', 'citrus', 'sulfury', 'nutty', 'spicy', 'floral', 'sulfur', 'herbaceous', 'pungent'}"
11614,Butyl Formate,"{'brandy', 'rum', 'plum', 'fruity'}"
11617,Diallyl Sulfide,"{'metallic', 'garlic', 'horseradish', 'sulfurous', 'onion'}"
11622,2-Tridecanone,"{'herbal', 'milky', 'nutty', 'dairy', 'waxy', 'earthy', 'coconut', 'fatty'}"
11635,Octadecane,{'alkane'}
11686,Dimethylmalonic Acid,{''}
11732,3-Methyl-2-Butanol,{'fruity'}
11744854,Sabinene hydrate,"{'balsam', 'balsamic'}"
11746218,Caryophyllene alcohol,"{'earth', 'moss', 'spice', 'spicy', 'earthy'}"
11747,"2,3-Pentanedione","{'cream', 'creamy', 'caramel', 'butter', 'nutty', 'cheese', 'sweet', 'pungent'}"
117754,1-Tridecyne,{''}
11815386,3-Hydroxy-5-methyl-2-hexanone,"{'milky', 'sour', 'cheesy'}"
1182,DL-Valine,{'odorless'}
11830551,(-)-alpha-Himachalene,{''}
1183,vanillin,"{'chocolate', 'vanilla', 'creamy', 'sweet'}"
118855872,"Glycerides, palm-oil mono- and di-, hydrogenated, 3-oxooctanoates",{''}
11902,Methyl 2-furoate,"{'tobacco', 'mushroom', 'fungal', 'fruity', 'sweet'}"
119900,valofin,"{'cooling', 'woody', 'bitter', 'sweet', 'fruity'}"
1201518,(-)-Borneol,"{'woody', 'pine', 'camphor'}"
1201521,D-Fenchone,{''}
12020,1-Penten-3-Ol,"{'horseradish', 'pungent', 'vegetable', 'tropical', 'bitter', 'green', 'butter', 'fruity'}"
12025,2-Pyrrolidinone,{''}
12041,Ethyl Pyruvate,{''}
12044,Isopropyl Isobutyrate,"{'citrus', 'pineapple', 'pear', 'sweet', 'fruity'}"
12072,Dihydrocarveol,"{'minty', 'menthol', 'spearmint', 'spice', 'mint', 'herbal'}"
12097,5-Methylfurfural,"{'burnt sugar', 'almond', 'maple', 'spice', 'caramel'}"
12105,3-Methylbenzaldehyde,"{'benzaldehyde', 'cherry', 'phenolic', 'sweet', 'fruity'}"
1213,"4a(2H)-Naphthol, octahydro-4,8a-dimethyl-","{'earth', 'soil', 'musty', 'fresh', 'earthy', 'beet'}"
12146,Cyclohexyl Acetate,"{'ethereal', 'fruity', 'musty', 'sweet'}"
121677,"1,1,6-Trimethyl-1,2-dihydronaphthalene",{'licorice'}
121694,"2,5-Dimethyl-4-ethyloxazole","{'roasted', 'burnt'}"
12170,Furfuryl acetate,"{'sweet', 'banana', 'horseradish', 'fruity'}"
121719,Pinocarvone,{'minty'}
12178,3-Hexanol,"{'alcoholic', 'alcohol', 'medicinal', 'ether'}"
12180,Methyl butyrate,"{'banana', 'fruity', 'ether', 'fruit', 'apple', 'sweet', 'pineapple'}"
12206,Methyl Valerate,"{'apple', 'pineapple', 'nutty', 'green', 'sweet', 'fruity'}"
12209,2-Methylbutyl Acetate,"{'banana', 'overripe fruit', 'juicy', 'fruit', 'peanut', 'sweet'}"
12225100,55896-93-0,{''}
12230,Ethyl methyl sulfide,"{'sulfurous', 'sulfur', 'floral', 'herbaceous', 'sulfury', 'cabbage', 'meaty', 'garlic', 'spicy', 'earthy', 'fatty', 'pyridine', 'citrus', 'vegetable', 'nutty', 'green', 'fishy', 'wine_like', 'woody', 'coffee', 'tomato', 'fruity'}"
12232,Dimethyl disulfide,"{'cabbage', 'sulfurous', 'wine_like', 'floral', 'citrus', 'vegetable', 'woody', 'herbaceous', 'onion', 'nutty', 'green', 'putrid', 'meaty', 'spicy', 'earthy', 'fruity', 'fatty'}"
12247,4-Penten-2-Ol,{''}
